label,text
tech," There is no doubt that mobile phones sporting cameras and colour screens are hugely popular.  Consumers swapping old phones for slinkier, dinkier versions are thought to be responsible for a 26% increase in the number of phones sold during the third quarter of 2004, according to analysts Gartner More than 167 million handsets were sold globally between July and September 2004, a period that, according to Gartner analyst Carolina Milanesi is ""seldom strong"". But although consumers have mobiles that can take and send snaps, sounds and video clips few, so far, are taking the chance to do so.  In fact, the numbers of people not taking and sending pictures, audio and video is growing. Figures gathered by Continental Research shows that 36% of British camera phone users have never sent a multimedia message (MMS), up from 7% in 2003. This is despite the fact that, during the same period, the numbers of camera phones in the UK more than doubled to 7.5 million. Getting mobile phone users to send multimedia messages is really important for operators keen to squeeze more cash out of their customers and offset the cost of subsidising the handsets people are buying. The problem they face, said Shailendra Jain, head of MMS firm Adamind, is educating people in how to send the multimedia messages using their funky handsets.  ""Also,"" he said, ""they have to simplify the interface so its not rocket science in terms of someone understanding it."" Research bears out the suspicion that people are not sending multimedia messages because they do not know how to. According to Continental Research, 29% of the people it questioned said they were technophobes that tended to shy away from innovation. Only 11% regarded themselves as technically savvy enough to send a picture or video message. The fact that multimedia services are not interoperable across networks and phones only adds to people's reluctance to start sending them, said Mr Jain. ""They ask themselves: 'If I'm streaming video from one handset to another will it work?'"" he said. ""There's a lot of user apprehension about that.""  There are other deeper technical reasons why multimedia messages are not being pushed as strongly as they might. Andrew Bud, executive chairman of messaging firm Mblox, said mobile phone operators cap the number of messages that can be circulating at any one time for fear of overwhelming the system. ""The rate we can send MMS into the mobile network is fairly constant,"" he said. The reason for this is that there are finite capacities for data traffic on the second generation networks that currently have the most users.  No-one wants to take the risk of swamping these relatively narrow channels so the number of MMS messages is capped, said Mr Bud. This has led to operators finding other technologies, particularly one known as Wap-push, to get multimedia to their customers. But when networks do find a good way to get multimedia to their customers, the results can be dramatic. Israeli technology firm Celltick has found a way to broadcast data across phone networks in a way that does not overwhelm existing bandwidth. One of the first firms to use the Celltick service is Hutch India, the largest mobile firm in the country. The broadcast system gets multimedia to customers via a rolling menu far faster than would be possible with other systems. While not multimedia messaging, such a system gets people used to seeing their phones as a device that can handle all different types of content. As a result 40% of the subscribers to the Hutch Alive, which uses Celltick's broadcast technology, regularly click for more pictures, sounds and images from the operator. ""Operators really need to start utilising this tool to reach their customers,"" said Yaron Toren, spokesman for Celltick. Until then, multimedia will be a message that is not getting through. "
business," Deutsche Boerse, the German stock exchange that is trying to buy its London rival, has said it will boost its 2004 dividend payment by 27%.  Analysts said that the move is aimed at winning over investors opposed to its bid for the London Stock Exchange. Critics of the takeover have complained that the money could be better used by returning cash to shareholders. Deutsche Boerse also said profit in the three months to 31 December was 120.7m euros ($158.8m; £83.3m). Sales climbed to 364.4m euros, lifting revenue for the year to a record 1.45bn euros.  Frankfurt-based Deutsche Boerse has offered £1.3bn ($2.48bn; 1.88bn euros) for the London Stock Exchange. Rival pan-European bourse Euronext is working also on a bid. Late on Monday, Deutsche Boerse said it would lift its 2004 dividend payment to 70 euro cents (£0.48; $0.98) from 55 euro cents a year earlier. ""There is a whiff of a sweetener in there,"" Anais Faraj, an analyst at Nomura told the BBC's World Business Report. ""Most of the disgruntled shareholders of Deutsche Boerse are complaining that the money that is being used for the bid could be better placed in their hands, paid out in dividends,"" Mr Faraj continued. Deutsche Boerse is ""trying to buy them off in a sense"", he said. "
tech," UK mobile owners continue to break records with their text messaging, with latest figures showing that 26 billion texts were sent in total in 2004.  The figures collected by the Mobile Data Association (MDA) showed that 2.4 billion were fired off in December alone, the highest monthly total ever. That was 26% more than in December 2003. The records even surpassed the MDA's own predictions, it said. Every day 78 million messages are sent and there are no signs of a slow down. Before December's bumper text record, the previous highest monthly total was in October 2004, when 2.3 billion were sent. Text messaging is set to smash more records in 2005 too, said the MDA, with forecasts suggesting a total of 30 billion for the year.  Even though mobiles are becoming increasingly sophisticated with much more multimedia applications, texting is still one of the most useful functions of mobiles. People are using SMS to do much more too. Booking cinema tickets, text voting, and news or sports text alerts are growing popular. Mobile owners have also given the chance to donate to the Disasters Emergency Committee's (DEC) Asian Tsunami fund by texting ""Donate"" to a simple short code number. Looking further ahead in the year, the MDA's chairman Mike Short, has predicted that more people will go online through their mobiles, estimating 15 billion WAP page impressions. Handsets with GPRS capability - an ""always on"" net connection - will rise to 75%, while 3G mobile ownership growing to five million by the end of 2005. These third generation mobiles offer a high-speed connection which means more data like video can be received on the phone. Globally, mobile phone sales passed 167 million in the third quarter of 2004, according to a recent report from analysts Gartner. That was 26% more than the previous year. It is predicted that there would be two billion handsets in use worldwide by the end of 2005. "
tech," Two-thirds of the world's population, 4 billion people, live on $2,000 a year or less.  You might think that the last thing on their minds would be getting a television set or a computer. But that's not the case. Many people in the developing world give up one of their daily meals so they can afford to buy a TV. And now, an Indian-born computer engineer thinks he's come up with a way to give them cheap access to the internet. Carnegie Mellon Professor Raj Reddy has spent the bulk of his professional career trying to find ways to make technology accessible to poor people. The first step is to figure out why poor people would want a personal computer and Professor Reddy thinks he has a pretty good idea of why they might. ""I come from a village,"" says Prof Reddy, ""I know what the population is like, many of them are illiterate, and many of them have other concerns."" ""There, nobody will use it for the conventional uses of a PC, word processing and Powerpoint,"" he said. ""So it's clear to me that if people wanted to use PCs in a village - it has to usable by illiterate people and it must be primarily for entertainment, education, telemedicine, and access to expert advice.""  Prof Reddy also thinks that tying it into some kind of aid package was the wrong approach. After all, he asked -- what aid group could possibly give expensive computers to 250 million less fortunate Indians, let alone the billions of poor people around the world?  Instead, Prof Reddy decided to think of those 250 million Indians as a potential market. The problem then becomes one of making the product compelling enough. ""It must be so compelling that you would give up your third meal in order to have this,"" Prof Reddy says. ""People do this today with television sets. If you go to India, and many other countries, they will first go get a television set before they worry about one more meal. Why? Because personalized entertainment has become very important."" This hatched a completely new idea. He calls it a PCtvt - A personal computer, television and telephone all in one that runs on a normal desktop machine. Literate users can surf through the applications with a keyboard and mouse but illiterate users can use what looks like a television remote control.  On the screen, pictures - not words - designate applications like TV, voice mail, and video e-mail. This dependence on graphics, video and audio means that a computer for an illiterate person needs 100 times more power and more memory than one for a PhD. Prassana Rambathla, one of Prof Reddy's graduate students, says that ""when you're talking illiterate you're talking audio and video, and that demands exponentially high bandwidth.' ""It can't choke at any point in time, and it has to withstand anything no matter what you're pressing."" ""The major part is making it foolproof, very tough, so that it never breaks,"" he says. The Carnegie Mellon team says this project is only possible because PCs are now so much cheaper and have built-in audio and video hardware and software. Limited trials of the PCtvt are due to start this month in the Indian state of Andhra Pradesh.  Although Andhra Pradesh has a fairly good infrastructure but work has to be done to ensure reliable connections to the net. Prof Reddy has teamed up with Eric Brewer at the University of California at Berkeley. The answer, says Prof Brewer, is wi-fi.  ""We're looking at the thing you'll see in Starbuck's or many other hotspots,"" he says. ""We're doing a lot of work on long-distance wireless and how to make the network work better in the presence of intermittency, when the power goes up and down, and the links go up and down, and the computers you're connected to just get turned off for no reason."" Prof Reddy says he hopes to lease the PCtvts for about $10 a month, and thinks Indians will rent the units for the television and DVD capabilities. Reddy says he can then introduce the PCtvt's other technologies - such as video mail. For example, a farmer could use the PCtvt's webcam to send a picture of a harmful insect to a local official who could send back a proposed course of action to the farmer. Prof Reddy thinks this kind of communication is the real pay-off. ""The underlying problem,"" he says, ""is how you can increase their wealth and reduce their poverty and reduce their illiteracy, and improve their health care.' ""And what I'm postulating is that this is the technology that will enable them. If I didn't have it, it would be an uphill battle. Even with the technology it's an uphill battle. But I have a tool. There is hope. I can reach them in ways that have not been possible before.""  Clark Boyd is technology correspondent for The World, a BBC World Service and WGBH-Boston co-production "
tech," Broadband's rapid rise continues apace as speeds gear up a notch.  An eight megabit service has been launched by internet service provider UK Online. It is 16 times faster than the average broadband package on the market and will pave the way for services such as video-on-demand and broadband TV. The service is possible due to a new regime which allows other operators to use BT's exchanges and will initially only be available in towns.  It represents a ""big leap forward"" for broadband, said Chris Stening, UK Online general manager.  The service comes with a hefty £39.99 monthly price tag but will mean users can download MP3s in seconds and offers TV-quality video streaming. The service includes WiFi as standard, meaning users can connect multiple PCs, laptops and game consoles from any room in the house. Not everybody will be able to take advantage of the service, as it will be restricted to metropolitan areas. The service will initially be available to users within 2km radius of 230 telephone exchanges in areas such as London, Birmingham, Glasgow and Cambridge. That represents about 4.4 million households. The service is possible due to a decision to loosen BT's strangle-hold on telephone exchanges.  The process, known as local loop unbundling, was put in motion by the now defunct telecoms watchdog Oftel but has only proved popular in recent months due to falling costs. UK Online is looking at the possibility of bundling services such as cheap net telephone calls, video-on-demand and TV by 2005 if the service proves popular. ""The service is twice as fast as any other service on offer in the UK and 16 times faster than most broadband services,"" said Mr Stening. ""It takes a big leap for broadband and we are very excited about it,"" he said. Countries such as South Korea and France have found the advantage of upping the speeds of broadband. In South Korea, video-on-demand over the net is cheaper than renting a DVD and online gaming is huge. Mr Stening believes the service will appeal to people in multi-occupancy buildings as well as easing family arguments. ""A typical family with two adults and two children is currently sharing a 512 kilobit service. This will basically give them 2 megabits each,"" he said. "
business," US oil prices have fallen by 6%, driven down by forecasts of a mild winter in the densely populated northeast.  Light crude oil futures fell $2.86 to $41.32 a barrel on the New York Mercantile Exchange (Nymex), and have now lost $4 in five days. Nonetheless, US crude is still 30% more expensive than at the beginning of 2004, boosted by growing demand and bottlenecks at refineries. Traders ignored the possible effects of Asia's tidal waves on global supplies.  Instead, the focus is now on US consumption, which is heavily influenced in the short term by the weather. ""With the revised milder temperatures... I'm more inclined to think we'll push lower and test the $40-40.25 range,"" said John Brady of ABN AMRO. ""The market definitely feels to be on the defensive."" Statistics released last week showed that stockpiles of oil products in the US had risen, an indication that severe supply disruptions may not arise this winter, barring any serious incident. Oil prices have broken records in 2004, topping $50 a barrel at one point, driven up by a welter of worries about unrest in Iraq and Saudi Arabia, rising demand and supply bottlenecks. London's International Petroleum Exchange remained closed for the Christmas holiday. "
sport," The Republic of Ireland have arranged friendlies against China and Italy which will take place at Lansdowne Road in March and August.  Brian Kerr's side will face the 54th ranked Chinese on 29 March - just three days after the World Cup qualifier against Israel in Tel Aviv. Italy will visit on 17 August in what will be a warm-up game ahead of the autumn World Cup qualifiers. In their last meeting, the Irish beat Italy in the 1994 World Cup Finals. However, that is the Republic's only victory in eight attempts against the Italians who have won all the other seven games. The 29 March game will be the second time the Republic have played China - the previous encounter back in June 1984 with the Irish winning 1-0 in Sapporo, Japan. Brian Kerr said: ""China have made great progress over the last few years and will provide difficult opposition. ""We all witnessed the performances of the Asian teams in the last World Cup, and China play a similar type of football. ""As for Italy, they make a welcome return to Dublin and will be a massive attraction because they are one of the great traditional powers in the world. ""The game will be ideal preparation for the three important World Cup qualifiers in the autumn."" Ireland round off their World Cup campaign with games against France on 7 September, Cyprus on 8 October and Switzerland on 12 October. "
sport," Arsene Wenger has stepped up his feud with Sir Alex Ferguson by claiming the Manchester United manager is guilty of bringing football into disrepute.  The pair's long-running row was put back in the headlines on Saturday when Ferguson said his Arsenal counterpart was ""a disgrace"". Wenger initially refused to bite back, saying only: ""I will never answer any questions any more about this man."" But now he claims Ferguson should be punished by the Football Association. The latest twist in the Ferguson-Wenger saga came on Saturday when the United boss, in an interview with The Independent newspaper, discussed the events after the game between the two sides in October. United won 2-0 that day, at Old Trafford, but the game was followed by a now notorious food fight which saw Ferguson's clothes covered in soup and pizza. The sides meet again at Highbury on 1 February. ""In the tunnel Wenger was criticising my players, calling them cheats, so I told him to leave them alone and behave himself,"" Ferguson said on Saturday. ""He ran at me with hands raised saying 'what do you want to do about it?' ""To not apologise for the behaviour of the players to another manager is unthinkable. It's a disgrace, but I don't expect Wenger to ever apologise, he's that type of person.""  Those allegations were put to Wenger after Saturday's game at Bolton, which Arsenal lost to slip 10 points behind Chelsea in the title race. At first he said only: ""I've always been consistent with that story and told you nothing happened. ""If he has to talk, he talks. If he wants to make a newspaper article, he makes a newspaper article. ""He doesn't interest me and doesn't matter to me at all. I will never answer to any provocation from him any more. ""He does what he likes in England anyway. He can go abroad one day and see how it is."" But later on Saturday, according to The Independent, Wenger spoke to a smaller group of reporters and expanded on his reaction. ""I have no diplomatic relations with him,"" the Arsenal boss is quoted as saying. ""What I don't understand is that he does what he wants and you (the press) are all at his feet.  ""The situation (concerning the food fight) has been judged and there is a game going on in a month. ""The managers have a responsibility to protect the game before the game. But in England you are only punished for what you say after the game. ""Now the whole story starts again. I don't go into that game. We play football. I am a football manager and I love football above all ... no matter what people say."" Reminded that Ferguson called him ""a disgrace"", Wenger added: ""I don't respond to anything. In England you have a good phrase. It is 'bringing the game into disrepute'. ""But that is not only after a game, it is as well before a game.""  Ferguson had also claimed that United chief executive David Gill and Arsenal vice-chairman David Dein had agreed at boardroom level not to discuss the incident in public. But Ferguson added: ""In the ensuing weeks all you got was a diatribe from Arsenal about being kicked off the pitch and all that nonsense. Gill phoned Dein three times to complain but nothing was done. ""The return is on 1 February and they will come out with another diatribe. ""David Gill and I feel we should set the record straight because Arsenal have not written to us to apologise and we would not let that happen here."" Meanwhile, the League Managers Association have offered to act as peacemakers in the hope of resolving the on-going row. During that stormy game in October, United striker Ruud van Nistelrooy caught Arsenal's Ashley Cole with one particularly strong tackle. Wenger later accused Van Nistelrooy of ""cheating"" and was fined £15,000 and ""severely reprimanded"" by the Football Association. Ferguson admitted on Saturday that Van Nistelrooy's tackle, which earned the Dutchman a ban, ""could have given (Cole) a serious injury"", but he believes Arsenal were the main aggressors.  ""Wenger is always complaining the match was not played in the right spirit,"" he added. ""They are the worst losers of all time, they don't know how to lose. Maybe it is just Manchester United, they don't lose many games to other teams. ""We tend to forget the worst disciplinary record of all time was Arsenal's up until last season. In fairness it has improved and now they are seen as paragons of virtue. ""But to Wenger it never happens, it is all some dream or nightmare."" "
tech," Sony's Playstation Portable is the top UK gadget for 2005, according to a round-up of ultimate gizmos compiled by Stuff Magazine.  It beats the iPod into second place in the Top Ten Essentials list which predicts what gadget-lovers are likely to covet this year. Owning all 10 gadgets will set the gadget lover back £7,455. That is £1,000 cheaper than last year's list due to falling manufacturing costs making gadgets more affordable.  Portable gadgets dominate the list, including Sharp's 902 3G mobile phone, the Pentax Optio SV digital camera and Samsung's Yepp YH-999 video jukebox.  ""What this year's Essentials shows is that gadgets are now cheaper, sexier and more indispensable than ever. We've got to the point where we can't live our lives without certain technology,"" said Adam Vaughan, editor of Stuff Essentials. The proliferation of gadgets in our homes is inexorably altering the role of the high street in our lives thinks Mr Vaughan. ""Take digital cameras, who would now pay to develop an entire film of photos? Or legitimate downloads, who would travel miles to a record shop when they could download the song in minutes for 70p?"" he asks. Next year will see a new set of technologies capturing the imaginations of gadget lovers, Stuff predicts. The Xbox 2, high-definition TV and MP3 mobiles will be among the list of must-haves that will dominate 2006, it says. The spring launch of the PSP in the UK is eagerly awaited by gaming fans. "
tech," Cable firm Telewest is to offer a personal video recorder (PVR) in a set -top box to challenge Sky Plus.  Sky Plus is the market leader in the field of digital video recorders in the UK, with 474,000 subscribers. PVRs record TV programmes to a hard drive, letting viewers pause, and rewind live television and effectively ""time shift"" the viewing experience. A number of PVRs incorporating Freeview digital terrestrial TV are also on the market but their success is limited. Telewest's PVR will offer a 160GB hard drive, which has storage for up to 80 hours of programmes. The box has three tuners, which means viewers can record two channels simultaneously while watching a third channel.  Sky Plus boxes come in two versions - a 20GB version for £99 and a 160GB version for £399. Sky also charges a £10 subscription fee to the service, unless viewers have a subscription to one of its premium packages. Telewest has yet to reveal pricing for the new box or if it will be charging a subscription fee for the service.  Eric Tveter, president and chief operating officer at Telewest Broadband, said: ""We will make our PVR set-top box available later this year, putting a stop to missed soaps, interrupted films and arguments over which programmes to record."" PVRs and recordable DVD players are set to replace video recorders as the standard method of recording and saving favourite TV programmes. Last year, high street retailer Dixons said it was going to stop selling VHS machines in favour of PVRs and recordable DVD machines. Sky has said it aims to have 25% of its subscribers using Sky Plus by 2010 - it is predicting 10 million total subscribers by that date. It currently has 7.4 million subscribers, while Telewest provides digital cable to 1.7 million customers. "
