text,label
"So in -- first of all, the segments, we are -- we are more selective than we were in the past.",0
Building a smarter and stronger energy grid that better serves customers is at the heart of our Advanced Grid Intelligence and Security initiative.,0
"Generally, first of all our Transmission department is very busy, both gas and electric transmission, I should say, meeting the needs of our on-network customers.",0
"But for the most part, our challenge is showing them how our funds work within the investment themes that they're already seeking.",0
"Our ambition is to be the preferred energy company for all stakeholders, and we have a disciplined three-phase strategy to meet that ambition.",0
"Well, Craig, we certainly are very much active in terms of driving the cost of our silicon carbide technology down over the time period.",0
"Dow completed expansions of its Louisiana ethylene and Seadrift, Texas, gas-phase polyethylene production facilities, delivering further integration strength to complement the Company's market-focused downstream investments. •",0
And so you want to know what's going on in golf?,0
"And they were asked by a very, very large German company to develop the tooling around the concept of this gas injection.",0
"Mark, I'll let Jeff give you some thoughts on that question.",0
"In this way, it offers all occupants a more comfortable and less tiring ride and enables them to respond quickly to environmental changes.",0
"If you start in the year lower-for-longer and you're looking to the forward curve or around the forward curve type numbers, you'd go with, I expect, to have less adjustments during the year.",0
"As we continue to accelerate fiber-to-the-home, we'll start seeing OpEx and CapEx costs coming out of the business.",0
"So we think that most customers will choose to take advantage of that saving, and we really see it more as a cost savings going forward than a unique ancillary revenue initiative.",0
Average growth has kept pace with gross domestic product (GDP) at between two to three percent per year.,0
"When we look at our Howden business in terms of coal production, they -- power production, they are benefiting from environmentally-driven compliance, particularly in China.",0
"As an example, our VOC products, we're starting that unit up and have very strong expectations that, that unit will fill very rapidly, as Chinese consumers are after environmental quality and health impacts that come with low VOC products.",0
10% to 12% is kind of where we've been for the last 3 or 4 years.,0
"In fact, we're planning for them to accelerate, and we're going to be implementing the Energy Bill in several steps beginning in the current quarter.",0
"As we mentioned in the prepared remarks, we're running well ahead of our Structure to Win goals and now expect to be closer to the $55 million that we committed to the run rate, actually, within the calendar year.",0
One of the ways we delivered valued and generated human capital was issuing a new publication sharing winning strategies for building a sustainable staffing ecosystem.,0
"And the cost, again, to go global are a lot less.",0
"Right now, I think the one that is -- that gives us the most opportunity and the most concern is cyber.",0
"I think the important point is that if we were to maintain the production at Antelope, we would have been looking at putting in a $70 million truck shovel fleet, moving the dragline cost considerably less than that.",0
"We've ordered 25, and we expect to continue to invest both through acquisition, as well as investment in hydrovacs because the oil sands is growing, and we think the capacity to transport is going to be resolved.",0
We're currently just on the ethane side at about -- recurring 20% to hit that ATEX and get our gas and pipeline spec.,0
So we've had a primary focus on helping the OEMs meet their fuel economy/CO2 emissions requirements.,0
"Based on past LTPS experiences, AUO has invested and constructed the Gen 6 LTPS fab at Kunshan, China, and the fab has begun mass production in 2017.",0
"Interesting side note, okay, as of today, I'm not saying that's -- that, that we can make this comment in a year from now because I don't know, but we have dropped off our carbon steel processing operations either.",0
"So we believe that we are well-positioned going forward to ensure that we have continued supply and, importantly, continued supply at cost competitive levels that support our expanding business model.",0
"We will do this by setting, disclosing and implementing a strategy with targets; starting with, but not limited to, the energy and power sectors.",0
"Moreover, the NEOS company program also incorporated efficiency objectives, the achievement of which contributes to the increase in the recurring EPS.",0
"I'll answer the first easy part, and Mark can answer the second harder part.",0
"Yes, I won't to comment on exactly where we sell those, other than it was not concentrated only there.",0
"But just to summarize, yes, that business is continuing to grow.",0
"Our goal was to get to 10% to 15%, we're there.",0
"Ongoing socio-economic and environmental programs Compensation for those affected, the reconstruction of public infrastructure and the relocation of the impacted communities of Bento Rodrigues, Paracatu and Gesteira are key programs under the Framework Agreement.",0
"I think in the first half of the year in particular, we're going to try to be as close to cash flow neutral with CapEx as we can.",0
"RI, because it's a project-based business and quite lumpy, you'll see certain metrics jump around quarter to quarter.",0
"And as I mentioned my remarks, that could put some temporary pressure on the DNI margin.",0
"The plant operated under a capacity-based PPA contract with the state-owned entity Power Holding Company of Nigeria (“PHCN”), which expired in November 2014.",0
FINANCIAL RISK MANAGEMENT CONTINUED INTEREST RATE RISK The Company is exposed to interest rate risk from the possibility that changes in interest rates will affect future cash flows or the fair values of its financial instruments.,0
"Boy, did that cause some destruction and put some of our good customers down for some time.",0
"As you can see, we continue to make significant progress in deepening and advancing our HBV pipeline, in addition to completing several strategic initiatives to further focus Arbutus' resources and activities squarely on this mission.",0
And so we feel very well positioned there and are focused more in the senior housing with memory care space than we are in independent living.,0
"We continue to see great success out of this product just based on the relaunch of the product, as well as our merchandising and marketing efforts with respect to our FlexFit adjustable base.",0
"Energy storage is set to play a key role, and as costs continue to decline, revenues from “load shifting”, frequency response services and capacity markets is strengthening the economic case for battery storage provision.",0
"For example, they've done a fabulous lighting package that has really brought expenses down.",0
"It continued with the double-digit growth in COOLIEF, which I'm very happy with.",0
"The Daiwa Living Companies are also moving into the energy field as a way of expanding their sphere of operations, and hope to harness this toward the goal of providing more comfortable daily lives for rental hous- ing tenants.",0
"The first of which was an engine plant expansion, which came in onboard on Q1.",0
"These include a loss of jobs at the fossil-fueled plants and in the broader economy, tax payments that support public services, including education, and economic activity that is supported by the plant’s ecosystem.",0
Not -- there is not a silver bullet for what the changes in gross margin will be.,0
"So we are seeing a lot of opportunities there, where we have been designing to electric buses, e-bike chargers and scooters and so on.",0
TOTAL performs sensitivity tests to assess the ability of its asset portfolio to withstand an increase in the price per ton of CO2.,0
And that's honestly most markets in the U.S. So that is a fact that we think there is opportunity for us to bring some tuck-in acquisitions that help us get to our goal of 70% and beyond.,0
"And then your second question, on the concession, the growth in the concession per cap in Q4, as has been the case throughout this year, there's really three buckets to that increase.",0
These positions are only included in the liquidity risk calculation after applying conservative discounts.,0
We're committed to making sure that our expenses are flat to last year.,0
"They have until January 21 to set new rates, if they choose to take that long.",0
Our thermal power plants Broadly based generation portfolio forms an essential mainstay of the electricity system provide the necessary system services to compensate for the fluctuating feed-in from wind and photovoltaic systems (PV).,0
This COP 20.4 billion investment was also a contribution to the reactivation of the textile industry in our country.,0
"Such roads would make allowance for users and their varied means of transport, and would themselves be sources of energy or information.",0
"(2) GW of green energy assets reflect 100% generating capacity of each asset, not the proportion owned/managed by Macquarie.",0
"Under the criteria used by the rating agencies, ratings assigned to Brazilian financial institutions, including Itaú Unibanco, are constrained by the grades assigned to the Brazilian sovereign rating.",0
"Well in a -- that's somewhat somber but, nevertheless, realistic sense, something like Remodulin is a luxury good for people with pulmonary hypertension because it is an advanced therapy, it's pricey therapy.",0
RUSAL submits regular GHG emission reports from its productions to the Russian Meteorological Office to register emissions in the National Cadastre of Anthro- pogenic Emissions from Sources and Absorption by GHG sinks.,0
"C and D batteries are performing quite well for us, we're delighted with progress we're making on rebuild of the A battery, and are confident in what will be a good campaign here in 2019.",0
The way we to think about it is we are rolling out our new 65-nanometer low-density products here at the end of Q4 and right through the first half of next year.,0
So they're going to have to ultimately import probably additional soybean oil or palm oil or canola oil or something to feed the people.,0
"In terms of new business lines, EDF is aiming to have a portfolio of 1 million off-grid kits by 2030 and is pursuing the development of new markets such as microgrids, smart grids, storage, hydrogen, mobility, smart cities, etc.,",0
"Strategy remains the same, really, for any of these issues that are in front of us; and that is to represent the interest of our customers, to provide the cleanest, most reliable most economically sensible product available.",0
"Overseas, electric power, Purchased heat energy Japan, renewable energy 3 4 Annual Trend in heavy Water Usage and Discharge as Waste Japan, gas* Japan, oil, etc.*",0
"Disposals On 18 December 2020, the Group completed the sale of a 12% interest in the Grosvenor mine (Metallurgical Coal) for $0.2 billion, equalising the ownership across its integrated operations at Moranbah North and Grosvenor.",0
"There is several -- there is like 2 OFS that are basically 100% electric, and they use our pumps.",0
Achieving this aim will provide the Group with an attractive portfolio to respond to the growing customer demand for battery-electric and plug-in hybrid vehicles.,0
