text,label,task
"wow , four sisters . just watching game of thrones .",0,gender
that's nice . moms are pretty cool too .,0,gender
"lol . i am shy , anything to break the ice , and i am a beatles fan .",0,gender
"really ? what shows ? i like tv , it makes me forget i do not like my family",0,gender
i did too . i do not get along with mine . they have no class .,0,gender
hi ! i work as a gourmet cook .,0,gender
great ! i had won an award for spelling bee .,0,gender
okay but i was published in new yorker once,0,gender
i have not . i can cook any word you want me to,0,gender
i'm asian and have no hair .,0,gender
i work as a gourmet cook who also has a pitch perfect voice .,0,gender
how are you doing today,0,gender
i like to watch kids,0,gender
what is your secret that you have,0,gender
how does that feel for you,0,gender
i watch kids for a living,0,gender
"ok i see , that's your halloween costume",0,gender
well i like sherlock holmes and others,0,gender
sounds a bit scary . i ve never been .,0,gender
hi how are you today,0,gender
"hello , how are you today ?",0,gender
what do you do for a living ? i proofread for hallmark .,0,gender
i agree . have you seen goodfellas ?,0,gender
"hi i am sally , i live with my sweet dogs in taos , new mexico .",0,gender
i've wonderful memories of my mother playing and singing to me .,0,gender
do you have any pets ?,0,gender
hello . how are you ?,0,gender
doing good . what are some of your favorite books ?,0,gender
hey how are you today ?,0,gender
"hello , how are you doing ?",0,gender
that's awesome . the ocean is incredible ! i totally believe that mermaids are out in the sea,0,gender
that's epic ! me and my four sisters would totally do the same thing ! !,0,gender
oh nice ! my mom went to beauty school too,0,gender
she still braids my hair and we chit chat because she's literally my best friend,0,gender
"that is such a great thing ! ! not married , single and trying to mingle haha . you ?",0,gender
i am great at catching a wave with my high school sweetheart,0,gender
not like i want being a nurse on the military base .,0,gender
a few been a brat all my life lol,0,gender
"hello , tell me about you .",0,gender
i just got back from the london college of fashion in the uk .,0,gender
i thought i'd make a pretty good fashion designer since i love to shop .,0,gender
maybe i could introduce you to my sister in law . she's all wrong for my brother .,0,gender
she might . she thinks she is better than me because she has an actual job .,0,gender
i've not ventured into employment yet in fashion . too much to do .,0,gender
"i too am a vegan , how long for you ?",0,gender
that is nice my boss at the grocery store is nice too,0,gender
i find people to help now they come to me like stray cats .,0,gender
when i was growing up my family moved 40 times .,0,gender
i think my mother was a bit touched in the head .,0,gender
"oh , that is cool . the career highlight of my schooling was winning a spelling bee .",0,gender
"i know , right ? that is why culinary school was where i ended up .",0,gender
hi ! how was your weekend ?,0,gender
"hi katie , i'm lucy . how was your weekend ?",0,gender
i am from the us too . my favorite is pink . do you go to school ?,0,gender
how did you know that is my favorite ! what about you ?,0,gender
"don't follow music much , but hope things are getting better for her",0,gender
"hi , how are you today ?",0,gender
sounds fun ! i am going shoe shopping later .,0,gender
